name,length
T1044_A_2023_2031,9
T1044_A_2037_2046,10
T1044_A_2049_2053,5
T1044_A_2082_2086,5
T1044_A_2138_2146,9
T1016_A_19_26,8
T1016_A_42_48,7
T1016_A_66_72,7
T1016_A_80_84,5
T1016_A_139_142,4
T1016_A_161_164,4
T1016_A_171_177,7
T1082_A_82_86,5
T1030_A_18_22,5
T1030_A_34_38,5
T1030_A_70_75,6
T1030_A_88_91,4
T1030_A_126_131,6
T1030_A_151_155,5
T1011_A_87_94,8
T1011_A_133_136,4
T1011_A_177_180,4
T1011_A_204_207,4
T1011_A_212_215,4
T1025_A_16_36,21
T1025_A_50_58,9
T1025_A_102_107,6
T1025_A_165_169,5
T1025_A_184_190,7
T1025_A_234_238,5
T1027_A_19_23,5
T1027_A_28_36,9
T1027_A_62_66,5
T1027_A_73_97,25
T1027_A_120_124,5
T1027_A_133_137,5
T1031_A_6_14,9
T1031_A_49_68,20
T1031_A_73_77,5
T1031_A_84_88,5
T1038_A_17_22,6
T1038_A_30_33,4
T1038_A_50_58,9
T1038_A_95_101,7
T1038_A_123_126,4
T1038_A_143_147,5
T1038_A_154_159,6
T1038_A_179_183,5
T1043_A_10_18,9
T1043_A_27_35,9
T1043_A_41_50,10
T1043_A_53_57,5
T1043_A_86_90,5
T0966_A_109_114,6
T0966_A_153_156,4
T0966_A_170_175,6
T0966_A_180_183,4
T0966_A_197_200,4
T0966_A_218_224,7
T0966_A_270_276,7
T0966_A_296_299,4
T0966_A_304_311,8
T0966_A_335_341,7
T0966_A_353_356,4
T0966_A_366_369,4
T0966_A_392_400,9
T0966_A_420_425,6
T0966_A_461_465,5
T0966_A_469_472,4
T1026_A_42_45,4
T1026_A_52_60,9
T1026_A_74_77,4
T1026_A_87_96,10
T1026_A_98_103,6
T1026_A_122_129,8
T0954_A_330_333,4
T1073_A_115_120,6
T1099_A_15_22,8
T1099_A_41_44,4
T1099_A_77_92,16
T1099_A_97_103,7
T1099_A_116_120,5
T0968s2_A_103_107,5
T1042_A_6_10,5
T1042_A_30_38,9
T1042_A_70_78,9
T1042_A_100_105,6
T1042_A_128_131,4
T1042_A_154_157,4
T1042_A_166_169,4
T1042_A_172_178,7
T1042_A_212_220,9
T1079_A_68_71,4
T1079_A_92_95,4
T1079_A_99_102,4
T1079_A_104_112,9
T1079_A_123_126,4
T1079_A_135_138,4
T1079_A_157_169,13
T1079_A_171_174,4
T1079_A_189_198,10
T1079_A_215_222,8
T1079_A_224_227,4
T1079_A_252_260,9
T1079_A_267_270,4
T1079_A_277_282,6
T1079_A_293_299,7
T1079_A_331_335,5
T1079_A_350_355,6
T1079_A_413_416,4
T1079_A_436_442,7
T1079_A_450_460,11
T1079_A_481_485,5
T0955_A_15_18,4
T0955_A_22_28,7
T0955_A_33_36,4
T1037_A_15_20,6
T1037_A_30_34,5
T1037_A_47_50,4
T1037_A_85_88,4
T1037_A_90_94,5
T1037_A_132_137,6
T1037_A_154_158,5
T1037_A_178_184,7
T1037_A_229_241,13
T1037_A_253_258,6
T1037_A_278_282,5
T1037_A_284_291,8
T1037_A_328_332,5
T1037_A_346_353,8
T1037_A_381_384,4
T1035_A_14_19,6
T1035_A_23_28,6
T1035_A_46_51,6
T1067_A_63_66,4
T1067_A_72_75,4
T1067_A_122_138,17
T1067_A_142_146,5
T1067_A_176_179,4
T1067_A_185_192,8
T1067_A_199_204,6
T1067_A_235_240,6
T1067_A_244_248,5
T0950_A_36_41,6
T0950_A_74_79,6
T0950_A_91_100,10
T0950_A_142_148,7
T0950_A_204_208,5
T0950_A_213_216,4
T0950_A_322_325,4
T1033_A_30_43,14
T1003_A_70_73,4
T1003_A_81_88,8
T1003_A_190_193,4
T1003_A_203_209,7
T1003_A_351_354,4
T1003_A_356_362,7
T1003_A_406_412,7
T1080_A_660_667,8
T1080_A_671_698,28
T1080_A_734_738,5
T1080_A_747_752,6
T1054_A_54_59,6
T1054_A_68_72,5
T1054_A_92_97,6
T1054_A_129_135,7
T1032_A_114_120,7
T1032_A_153_158,6
T1032_A_181_184,4
T1032_A_186_193,8
T1032_A_200_203,4
T1032_A_237_244,8
T1032_A_254_258,5
T1008_A_16_21,6
T1008_A_38_43,6
T1008_A_59_63,5
T0958_A_22_26,5
T0958_A_36_42,7
T0958_A_60_64,5
T0953s1_A_10_15,6
T1039_A_20_26,7
T1039_A_48_54,7
T1039_A_76_82,7
T1039_A_92_102,11
T1039_A_126_135,10
T1039_A_140_144,5
T0963_A_15_19,5
T0963_A_23_29,7
T1056_A_53_59,7
T1056_A_76_79,4
T1056_A_99_103,5
T1056_A_111_121,11
T1056_A_124_127,4
T1056_A_152_158,7
T1056_A_165_168,4
T0957s1_A_37_43,7
T1029_A_6_10,5
T1029_A_38_41,4
T1029_A_47_53,7
T1029_A_60_64,5
T1029_A_79_82,4
T1029_A_108_113,6
T0960_A_17_21,5
T0960_A_25_31,7
T0960_A_210_217,8
T1040_A_34_37,4
T1040_A_45_50,6
T1040_A_64_71,8
T1040_A_78_86,9
T1040_A_91_96,6
T1040_A_118_122,5
T1049_A_83_86,4
