name,length
T1109-D1_A_17_20,4
T1123-D1_A_220_224,5
T1139-D1_A_121_125,5
T1137s3-D1_A_118_122,5
T1194-D1_A_81_84,4
T1145-D2_A_254_263,10
T1157s1-D1_A_442_445,4
T1145-D2_A_358_362,5
T1139-D1_A_195_200,6
T1188-D1_A_378_381,4
T1157s1-D1_A_619_646,28
T1157s1-D1_A_551_605,55
T1187-D1_A_118_122,5
T1139-D1_A_79_93,15
T1121-D2_A_307_310,4
T1145-D1_A_11_20,10
T1157s2-D2_A_181_185,5
T1188-D1_A_180_185,6
T1137s8-D1_A_85_89,5
T1145-D1_A_41_45,5
T1137s5-D1_A_116_121,6
T1145-D2_A_516_522,7
T1137s3-D2_A_255_258,4
T1137s2-D1_A_85_89,5
T1150-D1_A_295_300,6
T1121-D2_A_356_361,6
T1121-D2_A_277_284,8
T1150-D1_A_208_218,11
T1137s3-D1_A_47_56,10
T1109-D1_A_133_139,7
T1129s2-D1_A_580_592,13
T1137s4-D2_A_349_354,6
T1157s1-D1_A_170_174,5
T1157s1-D1_A_503_506,4
T1157s1-D1_A_378_382,5
T1137s2-D1_A_112_117,6
T1188-D1_A_287_290,4
T1145-D2_A_421_427,7
T1137s2-D1_A_44_53,10
T1187-D1_A_54_57,4
T1137s6-D2_A_167_170,4
T1121-D2_A_248_252,5
T1137s4-D2_A_243_250,8
T1145-D1_A_75_79,5
T1157s1-D3_A_834_842,9
T1139-D1_A_205_208,4
T1157s1-D3_A_854_860,7
T1180-D1_A_180_184,5
T1129s2-D1_A_90_93,4
T1145-D2_A_148_151,4
T1137s3-D1_A_112_116,5
T1145-D2_A_317_322,6
T1137s5-D1_A_61_71,11
T1121-D2_A_235_242,8
T1120-D2_A_172_175,4
T1137s7-D1_A_28_32,5
T1139-D1_A_285_288,4
T1145-D2_A_403_409,7
T1137s4-D1_A_128_132,5
T1150-D1_A_91_96,6
T1129s2-D1_A_384_397,14
T1180-D1_A_26_30,5
T1137s6-D1_A_133_137,5
T1157s1-D1_A_25_29,5
T1137s4-D3_A_411_415,5
T1137s1-D2_A_291_298,8
T1129s2-D1_A_232_244,13
T1129s2-D1_A_140_146,7
T1124-D1_A_148_152,5
T1157s1-D1_A_40_48,9
T1124-D1_A_327_333,7
T1137s3-D2_A_186_189,4
T1180-D1_A_72_75,4
T1157s2-D1_A_81_86,6
T1121-D1_A_37_41,5
T1188-D1_A_160_165,6
T1137s1-D2_A_355_392,38
T1137s6-D2_A_331_360,30
T1137s4-D1_A_99_102,4
T1124-D1_A_202_206,5
T1145-D2_A_579_584,6
T1145-D2_A_131_134,4
T1157s1-D2_A_731_738,8
T1145-D1_A_91_95,5
T1137s6-D1_A_114_120,7
T1129s2-D1_A_321_324,4
T1188-D1_A_174_178,5
T1121-D2_A_256_262,7
T1145-D2_A_455_458,4
T1157s1-D1_A_196_204,9
T1129s2-D1_A_207_211,5
T1188-D1_A_563_571,9
T1170-D2_A_259_262,4
T1180-D1_A_10_13,4
T1137s7-D1_A_215_218,4
T1137s4-D1_A_135_138,4
T1188-D1_A_65_69,5
T1145-D2_A_140_144,5
T1121-D2_A_313_316,4
T1137s6-D1_A_122_126,5
T1157s1-D3_A_918_923,6
T1145-D2_A_173_177,5
T1194-D1_A_147_150,4
T1129s2-D1_A_213_218,6
T1109-D1_A_75_85,11
T1137s5-D2_A_322_325,4
T1129s2-D1_A_328_343,16
T1137s5-D1_A_137_141,5
T1124-D1_A_154_159,6
T1157s1-D1_A_73_81,9
T1137s6-D2_A_366_372,7
T1137s1-D2_A_319_351,33
T1145-D2_A_394_397,4
T1187-D1_A_133_138,6
T1150-D1_A_264_271,8
T1137s1-D2_A_396_399,4
T1129s2-D1_A_402_406,5
T1109-D1_A_59_63,5
T1188-D1_A_544_548,5
T1137s7-D1_A_19_22,4
T1129s2-D1_A_537_542,6
T1150-D1_A_149_153,5
T1145-D2_A_431_440,10
T1157s1-D3_A_896_913,18
T1137s4-D2_A_325_339,15
T1129s2-D1_A_55_62,8
T1157s1-D3_A_930_942,13
T1129s2-D1_A_606_610,5
T1188-D1_A_273_276,4
T1137s3-D1_A_84_89,6
T1194-D1_A_43_47,5
T1188-D1_A_339_345,7
T1137s7-D1_A_309_312,4
T1137s4-D1_A_93_97,5
T1104-D1_A_96_101,6
T1129s2-D1_A_411_416,6
T1121-D1_A_150_160,11
T1137s2-D1_A_119_123,5
T1139-D1_A_101_104,4
T1137s2-D1_A_132_135,4
T1157s1-D1_A_338_352,15
T1157s1-D1_A_448_453,6
T1123-D1_A_239_247,9
T1137s1-D1_A_99_106,8
T1157s1-D2_A_749_752,4
T1157s2-D2_A_190_194,5
T1137s8-D1_A_180_184,5
T1180-D1_A_246_250,5
T1170-D1_A_219_223,5
T1129s2-D1_A_276_280,5
T1194-D1_A_110_113,4
T1150-D1_A_60_63,4
T1145-D2_A_540_546,7
T1137s8-D1_A_225_231,7
T1129s2-D1_A_154_157,4
T1129s2-D1_A_259_266,8
T1124-D1_A_366_375,10
T1124-D1_A_16_20,5
T1157s1-D1_A_55_59,5
T1194-D1_A_17_21,5
T1194-D1_A_129_133,5
T1124-D1_A_216_219,4
T1137s1-D2_A_184_187,4
T1188-D1_A_369_372,4
T1137s4-D1_A_54_63,10
T1157s1-D1_A_321_331,11
T1123-D1_A_68_71,4
T1150-D1_A_317_321,5
T1187-D1_A_88_96,9
T1137s6-D1_A_87_91,5
T1137s7-D1_A_155_160,6
T1188-D1_A_42_45,4
T1145-D2_A_474_477,4
T1129s2-D1_A_569_577,9
T1157s1-D3_A_862_871,10
T1137s9-D1_A_244_247,4
T1139-D1_A_226_234,9
T1194-D1_A_96_101,6
T1137s9-D1_A_104_108,5
T1109-D1_A_101_104,4
T1188-D1_A_580_587,8
T1188-D1_A_516_519,4
T1129s2-D1_A_169_173,5
T1123-D1_A_195_198,4
T1145-D2_A_224_236,13
T1121-D2_A_268_273,6
T1188-D1_A_244_254,11
T1137s9-D1_A_199_203,5
T1187-D1_A_147_152,6
T1137s7-D1_A_110_113,4
T1137s4-D2_A_181_184,4
T1150-D1_A_68_75,8
